url,title,price_raw,price_mnt,location,district,khoroo,date_posted,area_m2,rooms,floor,total_floors,year_built,balcony,garage,window_type,window_count,door_type,floor_material,payment_terms,elevator,construction_status
https://www.unegui.mn/adv/10285209_bokhiin-orgoonii-iag-khazhuud-bairlakh-baganat-orgoo-bairand-110-6-mkv-3-oroo/,Бөхийн өргөөний хажууд баганат өргөө байранд 3 өрөө 110.6 мкв,660 сая ₮,660000000.0,"Баянзүрх, Бөхийн Өргөө",Баянзүрх,Бөхийн Өргөө,Нийтэлсэн: Өчигдөр 18:17,110.6,3,10,12,2016,1 тагттай,Байхгүй,Вакум,8,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10284488_sbd-11-r-khoroo-florence-residence-khotkhond-mastertai-73-4m2-3-oroo-oron-suuts/,Сбд 11-р хороо florence residence хотхонд мастертай 3 өрөө 73.4м2,330 сая ₮,330000000.0,"Сүхбаатар, Сүхбаатар, Хороо 11",Сүхбаатар,Хороо 11,Нийтэлсэн: Өчигдөр 18:17,73.4,3,11,16,2025,1 тагттай,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10278826_bzd-13-r-khoroo-92b-bairand-dupleks-97mkv-3-oroo-oron-suuts/,Бзд 13-р хороо 92б байранд дуплекс 3 өрөө 97мкв орон сууц,260 сая ₮,260000000.0,"Баянзүрх, Баянзүрх, Хороо 13",Баянзүрх,Хороо 13,Нийтэлсэн: Өчигдөр 18:17,97.0,3,11,11,2017,2 тагттай,Байхгүй,Вакум,8,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10252886_bzduurgiin-emnelgiin-khoino-delgerekh-apartmentd-90-98mkv-mastertai-3-oroo/,Бзд-ийн эмнэлгийн хойно дэлгэрэх апартментад мастертай 3 өрөө 90.98мкв байр,373.02 сая ₮,373020000.0,"Баянзүрх, Баянзүрх дүүрэг",Баянзүрх,Баянзүрх дүүрэг,Нийтэлсэн: Өчигдөр 18:17,90.98,3,16,16,2026,2 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10180090_bgd-9-r-khoroo-gemteliin-ard-shine-khoroolol-khotkhond-64m2-3-oroo-oron-suuts/,Бгд 9-р хороо гэмтлийн ард шинэ хороолол хотхонд 3 өрөө 64м2 байр,210 сая ₮,210000000.0,"Баянгол, Баянгол, Хороо 9",Баянгол,Хороо 9,Нийтэлсэн: Өчигдөр 18:17,64.0,3,16,17,2020,Тагтгүй,Байхгүй,Вакум,4,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10319984_iaarmag-ic-town-d-2-oroo-khudaldana/,"Яармаг ic town-д 2 өрөө 55,44мкв",194 сая ₮,194000000.0,"Хан-Уул, Яармаг",Хан-Уул,Яармаг,Нийтэлсэн: Өчигдөр 18:17,55.44,2,16,16,2025,1 тагттай,Байхгүй,Вакум,2,Төмөр,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10391674_artsat-orgoo-khotkhond-3-oroo-bair-khudaldana/,Арцат өргөө хотхонд 3 өрөө 93.3м2 байр,300 сая ₮,300000000.0,"Хан-Уул, Хан-Уул, Хороо 23",Хан-Уул,Хороо 23,Нийтэлсэн: Өчигдөр 18:16,93.3,3,3,12,2024,1 тагттай,Байгаа,Вакум,3,Төмөр,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10391652_khurd-rapid-1-oroo/,Хурд rapid 1 өрөө 37.06мкв,230 сая ₮ Үнэ тохирно,230000000.0,"Хан-Уул, Хурд",Хан-Уул,Хурд,Нийтэлсэн: Өчигдөр 18:15,37.06,1,6,8,2012,Тагтгүй,Байхгүй,Вакум,1,Бүргэд,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10253724_nisekh-n-palace-1-oroo/,Нисэх n palace 1 өрөө 30m2,117 сая ₮,117000000.0,"Хан-Уул, Нисэх",Хан-Уул,Нисэх,Нийтэлсэн: Өчигдөр 18:13,30.0,1,16,16,2026,1 тагттай,Байхгүй,Вакум,1,Төмөр,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10366754_khotyn-tovd-3oroo/,Хотын төвд 3 өрөө 104.5мкв,595 сая ₮ Үнэ тохирно,595000000.0,"Сүхбаатар, Сүхбаатар, Хороо 2",Сүхбаатар,Хороо 2,Нийтэлсэн: Өчигдөр 18:11,104.5,3,6,16,2011,1 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10360728_khud-khunnu-khotkhond-2-r-eelzhind-117-67-mkv-4-oroo-oron-suuu/,Худ хүннү хотхонд 2-р ээлжинд 117.67 мкв 4 өрөө,1.05 Тэрбум ₮,1050000000.0,"Хан-Уул, Хан-Уул, Хороо 11",Хан-Уул,Хороо 11,Нийтэлсэн: Өчигдөр 18:10,117.67,4,5,23,2022,1 тагттай,Байхгүй,Вакум,5,Төмөр,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
